school_id,ano_recolhido,etapa_ensino,nota_saeb_matematica,nota_saeb_portugues,nota_padronizada_media
27000095,2017,2,245.11,240.09,3.726232
27000095,2019,2,266.33,278.02,4.59208
27000095,2021,2,275.44,290.4,4.905359
27000095,2023,2,269.34,268.75,4.495583
27000710,2019,2,254.33,267.03,4.25902
27000710,2021,2,246.63,248.81,3.878119
27000710,2023,2,250.12,247.25,3.903783
27001237,2017,2,253.65,252.27,4.028511
27001237,2019,2,259.7,265.73,4.31498
27001237,2021,2,244.24,246.77,3.814013
